SourceFile,File:FileSize,PDF:CreateDate,PDF:PageCount
10.7717%2Fpeerj.682@table1.pdf,49 kB,2014:11:05 11:24:00Z,1
10.7717%2Fpeerj.682@table2.pdf,50 kB,2014:11:05 11:24:41Z,1
10.7717%2Fpeerj.682@table3.pdf,50 kB,2014:11:05 11:24:56Z,1
10.7717%2Fpeerj.682@table4.pdf,50 kB,2014:11:05 11:25:15Z,1
10.7717%2Fpeerj.682@table5.pdf,50 kB,2014:11:05 11:25:35Z,1
10.7717%2Fpeerj.686@FigS1_RootDensity.pdf,79 kB,2014:11:05 14:27:14-06:00,1
10.7717%2Fpeerj.686@FigureS2_Plot2AlnusMantel.pdf,94 kB,2014:07:24 21:29:58Z,1
10.7717%2Fpeerj.686@FigureS3_Plot8AlnusMantel.pdf,95 kB,2014:07:24 21:50:02Z,1
10.7717%2Fpeerj.689@Absorbances_for_melanin.pdf,98 kB,2014:09:29 15:25:12-04:00,1
10.7717%2Fpeerj.689@DNA_yield_crab_parts.pdf,8.0 kB,2014:09:29 15:40:58-04:00,1
10.7717%2Fpeerj.689@Supplementary_Figure_1_plain.pdf,163 kB,2014:11:02 01:03:33-05:00,1
10.7717%2Fpeerj.689@Supplementary_Figure_2.pdf,108 kB,2014:11:02 01:08:23-05:00,1
10.7717%2Fpeerj.689@Supplementary_Figure_3.pdf,107 kB,2014:11:02 01:19:44-05:00,1
10.7717%2Fpeerj.705@Figure_S1.pdf,44 kB,2014:10:27 11:10:30-07:00,1
10.7717%2Fpeerj.705@Table_S1.pdf,82 kB,2014:12:03 04:23:06Z,1
10.7717%2Fpeerj.741@Figure_S3_NJ_tree.pdf,80 kB,2013:12:12 12:24:01-02:00,1
10.7717%2Fpeerj.749@FountainSupplemental_S1.pdf,158 kB,2014:11:18 16:38:02-06:00,1
10.7717%2Fpeerj.761@Supplemental_Figure_1.pdf,238 kB,2014:07:01 14:42:37-04:00,1
10.7717%2Fpeerj.761@Supplemental_Figure_2.pdf,517 kB,2014:07:01 15:46:03-04:00,1
10.7717%2Fpeerj.761@Supplemental_Map.pdf,1884 kB,2013:09:03 13:23:34-04:00,1
10.7717%2Fpeerj.784@suppfig.pdf,30 kB,,1
10.7717%2Fpeerj.786@Supplemental_Table_S10.pdf,21 kB,2015:01:25 13:10:50-05:00,1
10.7717%2Fpeerj.786@Supplemental_Table_S1.pdf,16 kB,2015:01:25 12:57:55-05:00,1
10.7717%2Fpeerj.786@Supplemental_Table_S3.pdf,18 kB,2015:01:25 17:34:40-05:00,1
10.7717%2Fpeerj.786@Supplemental_Table_S4.pdf,14 kB,2015:01:25 12:59:28-05:00,1
10.7717%2Fpeerj.786@Supplemental_Table_S5.pdf,20 kB,2015:01:25 13:25:02-05:00,1
10.7717%2Fpeerj.786@Supplemental_Table_S6.pdf,14 kB,2015:01:25 13:25:48-05:00,1
10.7717%2Fpeerj.786@Supplemental_Table_S7.pdf,16 kB,2015:01:25 13:26:36-05:00,1
10.7717%2Fpeerj.786@Supplemental_Table_S8.pdf,18 kB,2015:01:25 13:08:43-05:00,1
10.7717%2Fpeerj.786@Supplemental_Table_S9.pdf,21 kB,2015:01:25 13:09:25-05:00,1
10.7717%2Fpeerj.788@S1.pdf,392 kB,2014:11:28 10:46:13+01:00,1
10.7717%2Fpeerj.788@S2.pdf,380 kB,2014:11:28 10:46:59+01:00,1
10.7717%2Fpeerj.788@S3.pdf,1370 kB,2014:11:28 10:47:40+01:00,1
10.7717%2Fpeerj.788@S4.pdf,358 kB,2014:11:28 10:48:28+01:00,1
10.7717%2Fpeerj.788@S5_alt.pdf,752 kB,2014:11:28 10:49:35+01:00,1
10.7717%2Fpeerj.788@S6.pdf,360 kB,2014:11:28 10:50:40+01:00,1
10.7717%2Fpeerj.801@PeerJ_Supplemental_Figure-1_Revised.pdf,432 kB,2015:01:27 16:12:30Z,1
10.7717%2Fpeerj.801@PeerJ_Supplemental_Figure_2.pdf,58 kB,2015:01:27 16:14:29Z,1
10.7717%2Fpeerj.805@Table_1S-January19.pdf,106 kB,2015:01:19 17:37:07Z,1
10.7717%2Fpeerj.815@Supplemental_Table_S1.pdf,287 kB,2015:02:04 17:50:26+00:00,1
10.7717%2Fpeerj.815@Supplemental_Table_S2.pdf,298 kB,2015:02:06 11:32:43+00:00,1
10.7717%2Fpeerj.817@Suppl_Figure_1_nuez_lopez_PeerJ.pdf,989 kB,2015:02:04 00:39:21-06:00,1
10.7717%2Fpeerj.817@Suppl_Figure_2_nuez_lopez_PeerJ.pdf,2.9 MB,2015:02:04 00:39:56-06:00,1
10.7717%2Fpeerj.817@Suppl_Figure_3_nuez_lopez_PeerJ.pdf,1479 kB,2015:02:04 00:40:20-06:00,1
10.7717%2Fpeerj.817@Suppl_Figure_4_nuez_lopez_PeerJ.pdf,5.4 MB,2015:02:04 00:40:48-06:00,1
10.7717%2Fpeerj.823@FigureS1.pdf,255 kB,2014:11:19 15:02:26-07:00,1
10.7717%2Fpeerj.823@FigureS2.pdf,377 kB,2014:11:19 15:03:25-07:00,1
10.7717%2Fpeerj.823@FigureS3.pdf,418 kB,2014:11:19 15:04:02-07:00,1
10.7717%2Fpeerj.823@FigureS4.pdf,664 kB,2014:11:19 15:04:25-07:00,1
10.7717%2Fpeerj.832@Figure_S1.pdf,396 kB,2015:01:19 16:20:53+02:00,1
10.7717%2Fpeerj.832@Figure_S2.pdf,13 kB,2015:01:25 17:38:14,1
10.7717%2Fpeerj.832@Figure_S3.pdf,21 kB,2015:02:12 11:00:02,1
10.7717%2Fpeerj.845@Supplement_S1.pdf,181 kB,2015:02:26 12:46:36-08:00,1
10.7717%2Fpeerj.857@peerj-review-1411-peerj-review-1411-Tab3.pdf,41 kB,2015:01:27 18:40:53Z,1
10.7717%2Fpeerj.863@SMALE_et_al_PeerJ_2015_Table_S1.pdf,23 kB,2015:02:26 18:18:59+00:00,1
10.7717%2Fpeerj.863@SMALE_et_al_PeerJ_2015_Table_S3.pdf,46 kB,2015:02:26 18:20:19+00:00,1
10.7717%2Fpeerj.863@SMALE_et_al_PeerJ_2015_Table_S4.pdf,121 kB,2015:02:26 18:20:44+00:00,1
10.7717%2Fpeerj.872@Appendix1.pdf,36 kB,2015:03:02 09:26:07+01:00,1
10.7717%2Fpeerj.872@Appendix2.pdf,15 kB,2015:03:02 09:34:53+01:00,1
10.7717%2Fpeerj.872@Appendix3.pdf,93 kB,2015:03:17 22:51:40+01:00,1
10.7717%2Fpeerj.872@Appendix4.pdf,29 kB,2015:03:02 09:46:15+01:00,1
10.7717%2Fpeerj.872@Appendix5.pdf,30 kB,2015:03:02 09:49:42+01:00,1
10.7717%2Fpeerj.895@Fig._S1_-_Read_Depth.pdf,31 kB,2015:02:26 21:35:50Z,1
10.7717%2Fpeerj.895@Fig._S2_-_Variance_across_species.pdf,153 kB,2014:11:19 10:07:58-06:00,1
10.7717%2Fpeerj.895@Fig._S3_-_Theta_Estimates_Extant_Pops.pdf,130 kB,2014:08:30 17:08:50-05:00,1
10.7717%2Fpeerj.895@Fig._S4_-_Tau_Estimates.pdf,123 kB,2014:08:30 17:12:01-05:00,1
10.7717%2Fpeerj.897@FigS1_OMP-09B11-32.pdf,19 MB,2014:11:21 11:18:21+09:00,1
10.7717%2Fpeerj.897@FigS2_OMP-09B11-143.pdf,27 MB,2014:11:21 11:47:16+09:00,1
10.7717%2Fpeerj.897@FigS3_OMP-09B11-195.pdf,24 MB,2014:11:21 11:47:48+09:00,1
10.7717%2Fpeerj.897@FigS4_OMP-09B11-391.pdf,18 MB,2014:11:21 11:48:29+09:00,1
10.7717%2Fpeerj.897@FigS5_OMP-09B11-518.pdf,17 MB,2014:11:21 11:49:01+09:00,1
10.7717%2Fpeerj.898@SupplementalFigure1.pdf,54 kB,2015:03:27 14:20:28-04:00,1
10.7717%2Fpeerj.89@SupplementalTableS10.pdf,36 kB,2013:03:18 15:24:37Z,1
10.7717%2Fpeerj.89@SupplementalTableS11.pdf,36 kB,2013:03:18 15:25:59Z,1
10.7717%2Fpeerj.89@SupplementalTableS12.pdf,37 kB,2013:03:18 15:27:05Z,1
10.7717%2Fpeerj.89@SupplementalTableS13.pdf,36 kB,2013:03:18 21:28:53Z,1
10.7717%2Fpeerj.89@SupplementalTableS14.pdf,36 kB,2013:03:19 15:25:49Z,1
10.7717%2Fpeerj.89@SupplementalTableS15.pdf,36 kB,2013:03:18 21:56:12Z,1
10.7717%2Fpeerj.89@SupplementalTableS16.pdf,36 kB,2013:03:19 15:44:14Z,1
10.7717%2Fpeerj.89@SupplementalTableS17.pdf,36 kB,2013:03:19 14:41:58Z,1
10.7717%2Fpeerj.89@SupplementalTableS18.pdf,36 kB,2013:03:19 16:23:24Z,1
10.7717%2Fpeerj.89@SupplementalTableS19.pdf,36 kB,2013:03:19 15:05:13Z,1
10.7717%2Fpeerj.89@SupplementalTableS20.pdf,36 kB,2013:03:19 20:32:56Z,1
10.7717%2Fpeerj.89@SupplementalTableS2.pdf,37 kB,2013:03:13 10:50:28Z,1
10.7717%2Fpeerj.89@SupplementalTableS3.pdf,36 kB,2013:03:13 10:50:58Z,1
10.7717%2Fpeerj.89@SupplementalTableS4.pdf,37 kB,2013:03:13 10:51:11Z,1
10.7717%2Fpeerj.89@SupplementalTableS5.pdf,36 kB,2013:03:13 10:51:23Z,1
10.7717%2Fpeerj.89@SupplementalTableS6.pdf,38 kB,2013:03:13 10:51:36Z,1
10.7717%2Fpeerj.89@SupplementalTableS7.pdf,36 kB,2013:03:13 10:51:49Z,1
10.7717%2Fpeerj.89@SupplementalTableS8.pdf,38 kB,2013:03:13 10:52:00Z,1
10.7717%2Fpeerj.89@SupplementalTableS9.pdf,36 kB,2013:03:18 15:23:25Z,1
10.7717%2Fpeerj.901@FigS1nMDSBenthos.pdf,2.1 MB,2015:03:29 13:28:03-04:00,1
10.7717%2Fpeerj.904@Figure_S1.pdf,80 kB,2015:02:24 11:07:32+09:00,1
10.7717%2Fpeerj.908@Katherine_Hinds.pdf,118 kB,2015:03:18 16:35:09+00:00,1
10.7717%2Fpeerj.915@Figure_S1_[Compatibility_Mode].pdf,120 kB,2015:02:02 16:18:04-08:00,1
10.7717%2Fpeerj.937@Peer_J_4163_Hispanic_radiation_Appendix.pdf,114 kB,2015:04:01 22:39:47Z,1
10.7717%2Fpeerj.939@PeerJ_supplementalfigure1.pdf,49 kB,2015:04:14 13:20:43Z,1
10.7717%2Fpeerj.939@PeerJ_Supplementalfigure2.pdf,51 kB,2015:04:14 13:20:23Z,1
10.7717%2Fpeerj.945@supplement.pdf,79 kB,2015:04:15 18:30:06-04:00,1
10.7717%2Fpeerj.956@Supplemental_Table_1.pdf,147 kB,2015:07:22 14:09:12-07:00,1
10.7717%2Fpeerj.968@Figure_S1.pdf,159 kB,2015:04:29 14:36:52+10:00,1
10.7717%2Fpeerj.968@Figure_S2.pdf,184 kB,2015:04:28 08:34:03+10:00,1
10.7717%2Fpeerj.968@Figure_S3.pdf,355 kB,2015:04:26 16:25:36+10:00,1
10.7717%2Fpeerj.968@Figure_S4.pdf,460 kB,2015:04:29 11:54:14+10:00,1
10.7717%2Fpeerj.968@Figure_S5.pdf,219 kB,2015:04:28 08:37:20+10:00,1
10.7717%2Fpeerj.968@Figure_S6.pdf,163 kB,2015:04:24 08:52:16+10:00,1
10.7717%2Fpeerj.968@Figure_S7.pdf,3.5 MB,,1
10.7717%2Fpeerj.976@FigS3.pdf,5.8 kB,2015:02:08 14:04:42,1
10.7717%2Fpeerj.976@FigS4.pdf,5.7 kB,2015:02:09 14:14:35,1
10.7717%2Fpeerj.976@FigS5.pdf,5.0 kB,2014:04:14 14:22:08,1
10.7717%2Fpeerj.976@FigS6.pdf,4.7 kB,2014:04:14 14:27:10,1
10.7717%2Fpeerj.976@FigS7.pdf,4.9 kB,2014:04:14 14:32:50,1
10.7717%2Fpeerj.976@FigS8.pdf,4.6 kB,2014:04:14 14:28:48,1
10.7717%2Fpeerj.983@Supplementary_Figure_S1.pdf,222 kB,2015:03:25 20:11:46Z,1
10.7717%2Fpeerj.983@Supplementary_Figure_S2.pdf,182 kB,2015:03:25 20:21:03Z,1
10.7717%2Fpeerj.991@Figure_S1.pdf,50 kB,2015:06:30 10:41:29+02:00,1
10.7717%2Fpeerj.991@Figure_S2.pdf,9.7 MB,2014:11:26 12:09:21Z,1
10.7717%2Fpeerj.998@READ_ME_for_Chimp_data_MS.pdf,174 kB,2015:03:10 17:00:42+00:00,1
